level1,level2,leaves
Mysticeti,Baleana,Balaena_mysticetus
Mysticeti,Baleanopteridae,Balaenoptera_acutorostrata
Mysticeti,Baleanopteridae,Balaenoptera_borealis
Mysticeti,Baleanopteridae,Balaenoptera_brydei
Mysticeti,Baleanopteridae,Balaenoptera_omurai
Mysticeti,Baleanopteridae,Balaenoptera_physalus
Odontoceti,Delphinidae,Cephalorhynchus_hectori
Odontoceti,Monodontidae,Delphinapterus_leucas
Odontoceti,Delphinidae,Delphinus_capensis
Odontoceti,Delphinidae,Delphinus_delphis
Mysticeti,Eschrichtiidae,Eschrichtius_robustus
Mysticeti,Baleana,Eubalaena_australis
Mysticeti,Baleana,Eubalaena_glacialis
Odontoceti,Delphinidae,Feresa_attenuata
Odontoceti,Delphinidae,Globicephala_macrorhynchus
Odontoceti,Delphinidae,Globicephala_melas
Odontoceti,Delphinidae,Grampus_griseus
Odontoceti,Physeteroidea,Kogia_breviceps
Odontoceti,Physeteroidea,Kogia_sima
Odontoceti,Delphinidae,Lagenorhynchus_acutus
Odontoceti,Delphinidae,Lagenorhynchus_albirostris
Odontoceti,Delphinidae,Lagenorhynchus_obliquidens
Odontoceti,Lipotidae,Lipotes_vexillifer
Mysticeti,Baleanopteridae,Megaptera_novaeangliae
Odontoceti,Ziphidae,Mesoplodon_bidens
Odontoceti,Ziphidae,Mesoplodon_densirostris
Odontoceti,Monodontidae,Monodon_monoceros
Odontoceti,Phocoenidae,Neophocaena_asiaeorientalis
Odontoceti,Phocoenidae,Neophocaena_phocaenoides
Odontoceti,Delphinidae,Orcinus_orca
Odontoceti,Phocoenidae,Phocoena_phocoena
Odontoceti,Phocoenidae,Phocoenoides_dalli
Odontoceti,Physeteroidea,Physeter_catodon
Odontoceti,Delphinidae,Pseudorca_crassidens
Odontoceti,Delphinidae,Sousa_chinensis
Odontoceti,Delphinidae,Stenella_attenuata
Odontoceti,Delphinidae,Stenella_coeruleoalba
Odontoceti,Delphinidae,Steno_bredanensis
Odontoceti,Delphinidae,Tursiops_aduncus
Odontoceti,Delphinidae,Tursiops_truncatus
Odontoceti,Ziphidae,Ziphius_cavirostris
