"busco_id"	"Balaena_mysticetus"	"Balaenoptera_acutorostrata"	"Balaenoptera_borealis"	"Balaenoptera_brydei"	"Balaenoptera_omurai"	"Balaenoptera_physalus"	"Cephalorhynchus_hectori"	"Delphinapterus_leucas"	"Delphinus_capensis"	"Delphinus_delphis"	"Eschrichtius_robustus"	"Eubalaena_australis"	"Eubalaena_glacialis"	"Feresa_attenuata"	"Globicephala_macrorhynchus"	"Globicephala_melas"	"Grampus_griseus"	"Kogia_breviceps"	"Kogia_sima"	"Lagenorhynchus_acutus"	"Lagenorhynchus_albirostris"	"Lagenorhynchus_obliquidens"	"Lipotes_vexillifer"	"Megaptera_novaeangliae"	"Mesoplodon_bidens"	"Mesoplodon_densirostris"	"Monodon_monoceros"	"Neophocaena_asiaeorientalis"	"Neophocaena_phocaenoides"	"Orcinus_orca"	"Phocoena_phocoena"	"Phocoenoides_dalli"	"Physeter_catodon"	"Pseudorca_crassidens"	"Sousa_chinensis"	"Stenella_attenuata"	"Stenella_coeruleoalba"	"Steno_bredanensis"	"Tursiops_aduncus"	"Tursiops_truncatus"	"Ziphius_cavirostris"
"EOG09020000"	NA	"XM_028168574.1"	NA	NA	NA	NA	NA	"XM_022570140.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027126990.1"	"XM_007450732.1"	NA	NA	NA	"XM_029224548.1"	"XM_024732830.1"	NA	"XM_004267378.2"	NA	NA	"XM_028479607.1"	NA	NA	NA	NA	NA	NA	"XM_019931599.1"	NA
"EOG09020005"	NA	"XM_007197488.2"	NA	NA	NA	NA	NA	"XM_022592937.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027100633.1"	"XM_007467398.1"	NA	NA	NA	"XM_029215616.1"	"XM_024734350.1"	NA	"XM_004263660.1"	NA	NA	"XM_024125341.2"	NA	NA	NA	NA	NA	NA	"XM_019929709.1"	NA
"EOG0902000D"	NA	"XM_007183233.1"	NA	NA	NA	NA	NA	"XM_022570207.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027078206.1"	"XM_007452631.1"	NA	NA	NA	"XM_029225973.1"	"XM_024756636.1"	NA	"XM_012532126.1"	NA	NA	"XM_007110946.2"	NA	NA	NA	NA	NA	NA	"XM_019922193.1"	NA
"EOG0902000I"	NA	"XM_028164698.1"	NA	NA	NA	NA	NA	"XM_022552053.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027109977.1"	"XM_007459317.1"	NA	NA	NA	"XM_029227500.1"	"XM_024749782.1"	NA	"XM_004272468.2"	NA	NA	"XM_028487785.1"	NA	NA	NA	NA	NA	NA	"XM_019918871.1"	NA
"EOG0902000L"	NA	"XM_028162870.1"	NA	NA	NA	NA	NA	"XM_022583243.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027119341.1"	"XM_007462964.1"	NA	NA	NA	"XM_029201876.1"	"XM_024735584.1"	NA	"XM_004273244.2"	NA	NA	"XM_024124897.2"	NA	NA	NA	NA	NA	NA	"XM_019935536.1"	NA
"EOG0902000N"	NA	"XM_007172397.1"	NA	NA	NA	NA	NA	"XM_022596406.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027103638.1"	"XM_007464834.1"	NA	NA	NA	"XM_029234858.1"	"XM_024745040.1"	NA	"XM_004265100.1"	NA	NA	"XM_028492249.1"	NA	NA	NA	NA	NA	NA	"XM_019927884.1"	NA
"EOG0902000P"	NA	"XM_007178926.1"	NA	NA	NA	NA	NA	"XM_022576062.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027120595.1"	"XM_007455658.1"	NA	NA	NA	"XM_029236976.1"	"XM_024757767.1"	NA	"XM_004262407.2"	NA	NA	"XM_007121674.3"	NA	NA	NA	NA	NA	NA	"XM_019952227.1"	NA
"EOG0902000Q"	NA	"XM_007173985.2"	NA	NA	NA	NA	NA	"XM_022571049.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027122671.1"	"XM_007466552.1"	NA	NA	NA	"XM_029226371.1"	"XM_024759952.1"	NA	"XM_004277189.2"	NA	NA	"XM_024131492.2"	NA	NA	NA	NA	NA	NA	"XM_019921436.1"	NA
"EOG0902000T"	NA	"XM_007182947.1"	NA	NA	NA	NA	NA	"XM_022590515.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027082462.1"	"XM_007463762.1"	NA	NA	NA	"XM_029224736.1"	"XM_024747286.1"	NA	"XM_004276886.2"	NA	NA	"XM_024117104.2"	NA	NA	NA	NA	NA	NA	"XM_019931800.1"	NA
"EOG0902000Y"	NA	"XM_007165981.2"	NA	NA	NA	NA	NA	"XM_022579733.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027123253.1"	"XM_007467211.1"	NA	NA	NA	"XM_029239012.1"	"XM_024735263.1"	NA	"XM_004274727.1"	NA	NA	"XM_028494914.1"	NA	NA	NA	NA	NA	NA	"XM_019950688.1"	NA
